"LINIENNR_EFA";"VERKEHRSMITTEL";"BRANCH_NR"
"HEX";"ExpressBus";"15"
"Lufthansa Express Bus";"ExpressBus";"15"
"X200";"ExpressBus";"20"
"X201";"ExpressBus";"20"
"X202";"ExpressBus";"20"
"X203";"ExpressBus";"20"
"X204";"ExpressBus";"20"
"X205";"ExpressBus";"20"
"X206";"ExpressBus";"20"
"X208";"ExpressBus";"20"
"X30";"ExpressBus";"20"
"X320";"ExpressBus";"20"
"X35";"ExpressBus";"20"
"X36";"ExpressBus";"20"
"X400";"ExpressBus";"15"
"X660";"ExpressBus";"20"
"X730";"ExpressBus";"20"
"X732";"ExpressBus";"20"
"X80";"ExpressBus";"20"
"X800";"ExpressBus";"20"
"X850";"ExpressBus";"20"
"X900";"ExpressBus";"20"
"X910";"ExpressBus";"20"
"X970";"ExpressBus";"20"
"2100";"FLEXlinie";"16"
"50";"MetroBus";"24"
"51";"MetroBus";"24"
"52";"MetroBus";"24"
"53";"MetroBus";"24"
"54";"MetroBus";"24"
"55";"MetroBus";"24"
"56";"MetroBus";"24"
"57";"MetroBus";"24"
"58";"MetroBus";"24"
"59";"MetroBus";"24"
"60";"MetroBus";"24"
"62";"MetroBus";"24"
"63";"MetroBus";"24"
"68";"MetroBus";"24"
"N272";"NachtBus";"19"
"N40";"NachtBus";"33"
"N41";"NachtBus";"33"
"N43";"NachtBus";"33"
"N44";"NachtBus";"33"
"N45";"NachtBus";"33"
"N71";"NachtBus";"33"
"N72";"NachtBus";"33"
"N74";"NachtBus";"33"
"N75";"NachtBus";"33"
"N76";"NachtBus";"33"
"N77";"NachtBus";"33"
"N78";"NachtBus";"33"
"N79";"NachtBus";"33"
"N80";"NachtBus";"33"
"N81";"NachtBus";"33"
"N17";"NachtTram";"32"
"N19";"NachtTram";"32"
"N20";"NachtTram";"32"
"N27";"NachtTram";"32"
"210";"RegionalBus";"19"
"211";"RegionalBus";"19"
"211V";"RegionalBus";"19"
"211W";"RegionalBus";"19"
"212";"RegionalBus";"19"
"214";"RegionalBus";"19"
"214V";"RegionalBus";"19"
"215";"RegionalBus";"19"
"216";"RegionalBus";"19"
"216V";"RegionalBus";"19"
"217";"RegionalBus";"19"
"218";"RegionalBus";"19"
"219";"RegionalBus";"19"
"219V";"RegionalBus";"19"
"220";"RegionalBus";"19"
"220V";"RegionalBus";"19"
"221";"RegionalBus";"19"
"222";"RegionalBus";"19"
"222V";"RegionalBus";"19"
"223";"RegionalBus";"19"
"224";"RegionalBus";"19"
"225";"RegionalBus";"19"
"226";"RegionalBus";"19"
"227";"RegionalBus";"19"
"229";"RegionalBus";"19"
"230";"RegionalBus";"19"
"230V";"RegionalBus";"19"
"231";"RegionalBus";"19"
"231V";"RegionalBus";"19"
"232";"RegionalBus";"19"
"233";"RegionalBus";"19"
"234";"RegionalBus";"19"
"234V";"RegionalBus";"19"
"236";"RegionalBus";"19"
"240";"RegionalBus";"19"
"240V";"RegionalBus";"19"
"240W";"RegionalBus";"19"
"241";"RegionalBus";"19"
"242";"RegionalBus";"19"
"242V";"RegionalBus";"19"
"243";"RegionalBus";"19"
"244";"RegionalBus";"19"
"258";"RegionalBus";"19"
"259";"RegionalBus";"19"
"260";"RegionalBus";"19"
"260V";"RegionalBus";"19"
"261";"RegionalBus";"19"
"262";"RegionalBus";"19"
"263";"RegionalBus";"19"
"263V";"RegionalBus";"19"
"264";"RegionalBus";"19"
"265";"RegionalBus";"19"
"266";"RegionalBus";"19"
"267";"RegionalBus";"19"
"267V";"RegionalBus";"19"
"268";"RegionalBus";"19"
"269";"RegionalBus";"19"
"270";"RegionalBus";"19"
"270V";"RegionalBus";"19"
"271";"RegionalBus";"19"
"271V";"RegionalBus";"19"
"275";"RegionalBus";"12"
"276";"RegionalBus";"12"
"277";"RegionalBus";"12"
"278";"RegionalBus";"12"
"291";"RegionalBus";"19"
"292";"RegionalBus";"19"
"293";"RegionalBus";"19"
"294";"RegionalBus";"19"
"295";"RegionalBus";"19"
"299";"RegionalBus";"19"
"336";"RegionalBus";"12"
"337";"RegionalBus";"12"
"338";"RegionalBus";"12"
"339";"RegionalBus";"12"
"340";"RegionalBus";"12"
"342";"RegionalBus";"12"
"343";"RegionalBus";"12"
"344";"RegionalBus";"12"
"345";"RegionalBus";"12"
"346";"RegionalBus";"12"
"347";"RegionalBus";"12"
"348";"RegionalBus";"12"
"349";"RegionalBus";"19"
"352";"RegionalBus";"12"
"353";"RegionalBus";"12"
"354";"RegionalBus";"12"
"355";"RegionalBus";"12"
"356";"RegionalBus";"12"
"357";"RegionalBus";"12"
"358";"RegionalBus";"12"
"359";"RegionalBus";"12"
"360";"RegionalBus";"12"
"361";"RegionalBus";"12"
"362";"RegionalBus";"12"
"363";"RegionalBus";"12"
"364";"RegionalBus";"12"
